id_gejala,nama_gejala
G001,Umbi membusuk
G002,Jaringan umbi mengering
G003,Daun terdapat bercak melekuk
G004,Bercak daun berwarna putih atau kelabu
G005,"becak tampak bercincin, dan warnanya agak keunguan"
G006,Ujung daun kering
G007,Umbi berwarna kecoklatan
G008,Umbi berwarna kecoklatan
G009,Bagian umbi dalam tampak kering dan pucat
G010,Ujung daun terdapat bercak hijau pucat
G011,Terdapat miselium dan spora pada bercak daun
G012,Tanaman kerdil
G013,"Adanya bercak putih berbentuk lonjong hingga bulat, kadang-kadang berbentuk belah ketupat pada daun bawang"
G014,Bercak daun berwarna putih
G015,daun yang terinfeksi akan patah dan terkulai
G016,Daun bawah rebah
G017,Tanaman bawang merah mendadak layu
G018,Akar tanaman membusuk dan mudah dicabut
G019,Daun tanaman terkulai
G020,Daun melintir dan mengerut
G021,Umbi membusuk dan juga terdapat jamur berwarna putih yang membuat tanaman bawang merah mati.
G022,Ujung daun busuk kebasah-basahan
G023,Ujung daun berwarna coklat
G024,Ujung daun mati
G025,Tanaman menimbulkan bau busuk yang menyengat
G026,Lapisan umbi terdapat bercak merah keunguan
G027,Lapisan umbi tampak basah
G028,Lapisan umbi terpisah-pisah
G029,Umbi berair
G030,Umbi berukuran kecil
G031,Bentuk daun lebih kecil
G032,Warna daun belang hijau pucat sampai kekuningan
G033,Daun berpilin
G034,Tanaman menguning
G035,Tanaman lebih kaku
G036,Tanaman lebih kerdil
G037,Rambut akar sedikit
G038,Terdapat puru berbentuk bulat pada akar
G039,Akar lebih pendek
G040,Akar lebih Sedikit
G041,Terdapat bekas gigitan ulat
G042,Daun berlubang tidak beraturan
G043,Jika serangan berat daun menjadi gundul
G044,Umbi berukuran kecil
G045,Daun bernoda putih mengkilat seperti perak
G046,Seluruh daun berwarna putih jika sudah parah
G047,Pangkal batang menunjukkan bekas gigitan ulat
G048,Pangkal batang terpotong potong
G049,Batang rebah
G050,Batang rusak dan berceceran
G051,Terdapat bintik-bintik putih pada daun
G052,daun penuh dengan korokan
G053,Daun menjadi kering dan warna daun seperti terbakar
